comandoerr,comando
mgdificar contenido,modificar contenido
wxit,exit
cerrao sesion,cerrar sesion
cllar,clear
mkidr,mkdir
mkfie,mkfile
dc,cd
sl,ls
pdw,pwd
deshargar,descargar
subigr,subir
cambir nombre,cambiar nombre
modificarcontenido,modificar contenido
eixt,exit
xcerrar sesion,cerrar sesion
cleaf,clear
skdir,mkdir
mkfiel,mkfile
dc,cd
sl,ls
wd,pwd
decargar,descargar
subia,subir
cambiar nomre,cambiar nombre
modificar cottenido,modificar contenido
ext,exit
cerrar shesion,cerrar sesion
clzar,clear
mdkir,mkdir
mnfile,mkfile
dc,cd
sl,ls
pwm,pwd
descdargar,descargar
sbuir,subir
cambir nombre,cambiar nombre
modificar aontenido,modificar contenido
exht,exit
cerrar sseion,cerrar sesion
lear,clear
mdkir,mkdir
kfile,mkfile
ch,cd
s,ls
pwhd,pwd
decsargar,descargar
ubir,subir
cambicr nombre,cambiar nombre
modificar cnotenido,modificar contenido
exi,exit
cerrar sseion,cerrar sesion
cleaq,clear
mkdri,mkdir
mkile,mkfile
cdd,cd
jls,ls
mwd,pwd
dsecargar,descargar
suwbir,subir
cambiar nombr,cambiar nombre
modificar contpenido,modificar contenido
ext,exit
cerrar sesoin,cerrar sesion
clar,clear
mktdir,mkdir
mkifle,mkfile
dc,cd
sl,ls
pw,pwd
descirgar,descargar
subi,subir
cambiar onmbre,cambiar nombre
modificra contenido,modificar contenido
rxit,exit
cerrar seison,cerrar sesion
cxlear,clear
mkdri,mkdir
mhfile,mkfile
cj,cd
sl,ls
pjd,pwd
dsecargar,descargar
sucbir,subir
cabmiar nombre,cambiar nombre
modificar contenidqo,modificar contenido
emit,exit
cerrar ession,cerrar sesion
cler,clear
mkdfr,mkdir
mkflie,mkfile
cx,cd
vs,ls
wpd,pwd
decargar,descargar
subimr,subir
gcambiar nombre,cambiar nombre
modificar copntenido,modificar contenido
xeit,exit
cerrar ession,cerrar sesion
celar,clear
mkdirv,mkdir
mfkile,mkfile
wd,cd
lsu,ls
pwdj,pwd
descarga,descargar
subr,subir
cambiarhnombre,cambiar nombre
modificar contenwido,modificar contenido
ext,exit
cerrar sesbion,cerrar sesion
clearq,clear
mkir,mkdir
kfile,mkfile
d,cd
rls,ls
zwd,pwd
dsecargar,descargar
dsubir,subir
cambar nombre,cambiar nombre
modificar conteqnido,modificar contenido
exigt,exit
cerra rsesion,cerrar sesion
clxear,clear
kdir,mkdir
mrfile,mkfile
wcd,cd
ols,ls
pdw,pwd
descargars,descargar
subri,subir
cambialr nombre,cambiar nombre
modifibcar contenido,modificar contenido
exti,exit
cerrars esion,cerrar sesion
lear,clear
mkidr,mkdir
mkflie,mkfile
d,cd
rs,ls
pjwd,pwd
kdescargar,descargar
subi,subir
cambiar nomber,cambiar nombre
modificar conteido,modificar contenido
extit,exit
cerrar sseion,cerrar sesion
clearr,clear
mkir,mkdir
mkfie,mkfile
d,cd
sl,ls
swd,pwd
desargar,descargar
suir,subir
cambiar nomrbe,cambiar nombre
modificar cntenido,modificar contenido
eixt,exit
cerar sesion,cerrar sesion
cllear,clear
mktdir,mkdir
mkfqle,mkfile
dc,cd
l,ls
wpd,pwd
descakgar,descargar
sbuir,subir
cambiar nomdbre,cambiar nombre
omdificar contenido,modificar contenido
cexit,exit
cerrlar sesion,cerrar sesion
lcear,clear
mkir,mkdir
mkjfile,mkfile
c,cd
s,ls
pw,pwd
descargxar,descargar
subri,subir
cdambiar nombre,cambiar nombre
modifica contenido,modificar contenido
exir,exit
ecrrar sesion,cerrar sesion
clmear,clear
kdir,mkdir
mkfil,mkfile
pd,cd
dls,ls
pwdn,pwd
descargra,descargar
subiy,subir
cambsiar nombre,cambiar nombre
modificar cotenido,modificar contenido
eit,exit
crerar sesion,cerrar sesion
lear,clear
wkdir,mkdir
mkfiie,mkfile
c,cd
sl,ls
pd,pwd
descargary,descargar
usbir,subir
cambiarnombre,cambiar nombre
modificar contenio,modificar contenido
eixt,exit
cerrar sesiron,cerrar sesion
cleear,clear
mkdiwr,mkdir
mkyile,mkfile
ci,cd
les,ls
pfwd,pwd
descarar,descargar
sbir,subir
cambiar noumbre,cambiar nombre
modificar conteido,modificar contenido
exti,exit
cerrar session,cerrar sesion
cler,clear
mkdcr,mkdir
mkfiel,mkfile
cdv,cd
sl,ls
pdw,pwd
descargr,descargar
sunir,subir
cambar nombre,cambiar nombre
modificar ckontenido,modificar contenido
exi,exit
carrar sesion,cerrar sesion
cear,clear
zkdir,mkdir
mkfilk,mkfile
td,cd
l,ls
pwod,pwd
descrgar,descargar
subimr,subir
cambiar onmbre,cambiar nombre
modificars contenido,modificar contenido
exitp,exit
cerrargsesion,cerrar sesion
clea,clear
mdir,mkdir
mkfilue,mkfile
dd,cd
lsn,ls
piwd,pwd
descargak,descargar
cubir,subir
cambiarn nombre,cambiar nombre
modificar conteniao,modificar contenido
exig,exit
cegrrar sesion,cerrar sesion
clar,clear
mkdr,mkdir
mxfile,mkfile
cx,cd
l,ls
pvwd,pwd
descaqgar,descargar
ubir,subir
cambrar nombre,cambiar nombre
modificra contenido,modificar contenido
txit,exit
csrrar sesion,cerrar sesion
qclear,clear
mdkir,mkdir
kkfile,mkfile
cxd,cd
us,ls
wd,pwd
decsargar,descargar
suibr,subir
cambiar nombrge,cambiar nombre
modificar lontenido,modificar contenido
exity,exit
cerra sesion,cerrar sesion
clera,clear
mpkdir,mkdir
kmfile,mkfile
ecd,cd
lse,ls
pdw,pwd
decargar,descargar
subi,subir
cabiar nombre,cambiar nombre
modificar contenisdo,modificar contenido
sxit,exit
cerrar fesion,cerrar sesion
cear,clear
mdkir,mkdir
mkifle,mkfile
cw,cd
l,ls
wpd,pwd
descargaru,descargar
usbir,subir
tambiar nombre,cambiar nombre
modificar conteniyo,modificar contenido
eit,exit
ecrrar sesion,cerrar sesion
lear,clear
mkidr,mkdir
mfkile,mkfile
cdq,cd
xls,ls
pw,pwd
descargra,descargar
ubir,subir
cambiiar nombre,cambiar nombre
modificar contenid,modificar contenido
exin,exit
cerrar seesion,cerrar sesion
cler,clear
vmkdir,mkdir
mkfilwe,mkfile
xd,cd
l,ls
pdw,pwd
decargar,descargar
ubir,subir
cambar nombre,cambiar nombre
modifica rcontenido,modificar contenido
exsit,exit
cerarr sesion,cerrar sesion
cler,clear
mdir,mkdir
mkfuile,mkfile
c,cd
lsz,ls
wd,pwd
descarglar,descargar
subirp,subir
cambiar nbombre,cambiar nombre
mokdificar contenido,modificar contenido
dxit,exit
cejrar sesion,cerrar sesion
claer,clear
kmdir,mkdir
mkile,mkfile
hcd,cd
lb,ls
apwd,pwd
descarga,descargar
subr,subir
cambiar nombrwe,cambiar nombre
modificar conteniddo,modificar contenido
exi,exit
cerrarosesion,cerrar sesion
claer,clear
mkdxr,mkdir
mkile,mkfile
cg,cd
sl,ls
pmd,pwd
desvargar,descargar
susir,subir
cambiar nomber,cambiar nombre
moidificar contenido,modificar contenido
exti,exit
cerrar sespion,cerrar sesion
cslear,clear
mkdri,mkdir
mkflie,mkfile
ca,cd
l,ls
wpd,pwd
descargajr,descargar
subcr,subir
cambiarn ombre,cambiar nombre
miodificar contenido,modificar contenido
eeit,exit
cevrar sesion,cerrar sesion
kclear,clear
mdkir,mkdir
mkflie,mkfile
cnd,cd
ks,ls
pd,pwd
decargar,descargar
subri,subir
cambir nombre,cambiar nombre
modificar conteniod,modificar contenido
xeit,exit
cerrar sesibn,cerrar sesion
lear,clear
mkdigr,mkdir
mfile,mkfile
c,cd
xs,ls
pdw,pwd
descarar,descargar
subri,subir
cambiar onmbre,cambiar nombre
modwficar contenido,modificar contenido
exft,exit
cerrarsesion,cerrar sesion
lear,clear
mkdijr,mkdir
kmfile,mkfile
dc,cd
sl,ls
pwde,pwd
descagar,descargar
ubir,subir
acmbiar nombre,cambiar nombre
modificar contenigo,modificar contenido
eixt,exit
ceprrar sesion,cerrar sesion
cleae,clear
kmdir,mkdir
mkfifle,mkfile
cu,cd
s,ls
wd,pwd
edscargar,descargar
subr,subir
cambia nombre,cambiar nombre
modifciar contenido,modificar contenido
ext,exit
cerrar seion,cerrar sesion
celar,clear
mkdi,mkdir
kmfile,mkfile
cx,cd
lls,ls
pd,pwd
descargr,descargar
suibr,subir
cjambiar nombre,cambiar nombre
modiifcar contenido,modificar contenido
exi,exit
derrar sesion,cerrar sesion
clera,clear
mdkir,mkdir
mkfgile,mkfile
c,cd
sl,ls
pw,pwd
edscargar,descargar
fubir,subir
cambiar nnmbre,cambiar nombre
modificar contenio,modificar contenido
exht,exit
cerrar seion,cerrar sesion
cear,clear
mkidr,mkdir
mfile,mkfile
c,cd
js,ls
pwfd,pwd
descirgar,descargar
suir,subir
cambiar nombe,cambiar nombre
modificar cgontenido,modificar contenido
jxit,exit
cerrarvsesion,cerrar sesion
nclear,clear
zmkdir,mkdir
mykfile,mkfile
c,cd
s,ls
pd,pwd
descarogar,descargar
subr,subir
cambiar nfombre,cambiar nombre
modificar acontenido,modificar contenido
exti,exit
cerrar ssion,cerrar sesion
clar,clear
mkdi,mkdir
mkffile,mkfile
hd,cd
sl,ls
pwda,pwd
descakgar,descargar
subi,subir
cambiar nomre,cambiar nombre
modificlr contenido,modificar contenido
xit,exit
cerrar sesiwon,cerrar sesion
clar,clear
mkdkir,mkdir
mkflie,mkfile
dc,cd
lms,ls
wd,pwd
dexscargar,descargar
subqr,subir
cambiar nomre,cambiar nombre
modifwcar contenido,modificar contenido
ezit,exit
cerrar esion,cerrar sesion
clerar,clear
mkdri,mkdir
kfile,mkfile
gcd,cd
sl,ls
wpd,pwd
demcargar,descargar
ubir,subir
cambiar nombe,cambiar nombre
moificar contenido,modificar contenido
xeit,exit
cemrar sesion,cerrar sesion
clera,clear
mkdr,mkdir
mfile,mkfile
dc,cd
s,ls
wd,pwd
ddscargar,descargar
suir,subir
zambiar nombre,cambiar nombre
modiifcar contenido,modificar contenido
cxit,exit
cerar sesion,cerrar sesion
clera,clear
mdkir,mkdir
mkfiel,mkfile
wd,cd
s,ls
pdw,pwd
destargar,descargar
usbir,subir
cambar nombre,cambiar nombre
modificar contenrido,modificar contenido
exiti,exit
cerrar sevion,cerrar sesion
clyar,clear
mkdri,mkdir
mkfle,mkfile
chd,cd
sl,ls
pld,pwd
desvargar,descargar
suibr,subir
cambiar nmobre,cambiar nombre
modificar contneido,modificar contenido
exih,exit
crrar sesion,cerrar sesion
lear,clear
mkir,mkdir
mkgile,mkfile
ocd,cd
els,ls
pwg,pwd
descargr,descargar
usbir,subir
cambiar ombre,cambiar nombre
modificar contenrido,modificar contenido
ext,exit
cerra sesion,cerrar sesion
clea,clear
kdir,mkdir
mkfiie,mkfile
xcd,cd
les,ls
pwcd,pwd
descargr,descargar
suibr,subir
cambair nombre,cambiar nombre
modificr contenido,modificar contenido
exti,exit
cerrarw sesion,cerrar sesion
clevr,clear
jkdir,mkdir
ekfile,mkfile
c,cd
lsc,ls
lwd,pwd
decsargar,descargar
subri,subir
fcambiar nombre,cambiar nombre
modificar conetnido,modificar contenido
eit,exit
cerrar sesin,cerrar sesion
clegr,clear
mhkdir,mkdir
mkflie,mkfile
od,cd
sl,ls
pd,pwd
desdcargar,descargar
skbir,subir
cambiar ombre,cambiar nombre
vodificar contenido,modificar contenido
eit,exit
errar sesion,cerrar sesion
cloar,clear
mkdri,mkdir
mklile,mkfile
d,cd
l,ls
pwdf,pwd
descarcar,descargar
qubir,subir
kcambiar nombre,cambiar nombre
modificar lontenido,modificar contenido
exi,exit
cerrar sesin,cerrar sesion
cleayr,clear
mkkir,mkdir
kmfile,mkfile
c,cd
zs,ls
wd,pwd
descarigar,descargar
suibr,subir
cambiar nmbre,cambiar nombre
modificar cnotenido,modificar contenido
ext,exit
cerrar sesmon,cerrar sesion
clfear,clear
mkdjir,mkdir
mkfil,mkfile
hd,cd
l,ls
wpd,pwd
descragar,descargar
jsubir,subir
cambiar nomre,cambiar nombre
modificar contneido,modificar contenido
jxit,exit
cerrar sesiohn,cerrar sesion
cear,clear
kdir,mkdir
kmfile,mkfile
d,cd
lis,ls
pbwd,pwd
descrargar,descargar
subtir,subir
cambiar ombre,cambiar nombre
modificr contenido,modificar contenido
exio,exit
cerrur sesion,cerrar sesion
cleak,clear
mkdr,mkdir
mkffle,mkfile
d,cd
sl,ls
pwx,pwd
descargsr,descargar
subri,subir
cmbiar nombre,cambiar nombre
modificar contejido,modificar contenido
eit,exit
cerrar sesiong,cerrar sesion
celar,clear
mdir,mkdir
mkflie,mkfile
rcd,cd
ln,ls
prd,pwd
edscargar,descargar
sbuir,subir
ecambiar nombre,cambiar nombre
modificar contjenido,modificar contenido
eit,exit
cerrarsesion,cerrar sesion
clera,clear
mdkir,mkdir
mkfle,mkfile
cfd,cd
s,ls
ipwd,pwd
dsecargar,descargar
subbir,subir
cmabiar nombre,cambiar nombre
mvodificar contenido,modificar contenido
xeit,exit
cerrar sesionw,cerrar sesion
lear,clear
mkdi,mkdir
mklfile,mkfile
cn,cd
dls,ls
twd,pwd
descaqrgar,descargar
usbir,subir
cambdiar nombre,cambiar nombre
modificar contevnido,modificar contenido
xeit,exit
cerrarpsesion,cerrar sesion
clnar,clear
mkdiw,mkdir
mkifle,mkfile
d,cd
lzs,ls
phwd,pwd
descaragr,descargar
usbir,subir
cambiar nmobre,cambiar nombre
modificarcontenido,modificar contenido
gxit,exit
cerrar sesison,cerrar sesion
lcear,clear
mkdi,mkdir
mkfoile,mkfile
dc,cd
vls,ls
pdw,pwd
descragar,descargar
sbbir,subir
cmabiar nombre,cambiar nombre
modificar cntenido,modificar contenido
evxit,exit
cerrar esion,cerrar sesion
claer,clear
kmdir,mkdir
mkfhile,mkfile
dc,cd
sl,ls
pw,pwd
descagar,descargar
ssbir,subir
cambiar nmobre,cambiar nombre
modificarv contenido,modificar contenido
exft,exit
errar sesion,cerrar sesion
cleas,clear
mqkdir,mkdir
mkifle,mkfile
dc,cd
sl,ls
pw,pwd
deschargar,descargar
ubir,subir
cambqar nombre,cambiar nombre
modificar coantenido,modificar contenido
xeit,exit
cerrar sesin,cerrar sesion
lear,clear
mkdvr,mkdir
mkfiel,mkfile
csd,cd
sl,ls
cwd,pwd
ddescargar,descargar
sbuir,subir
cambiar onmbre,cambiar nombre
modificar conteniado,modificar contenido
ext,exit
cerrar sseion,cerrar sesion
cyear,clear
kmdir,mkdir
kmfile,mkfile
cz,cd
sl,ls
pdw,pwd
descwrgar,descargar
rubir,subir
cajbiar nombre,cambiar nombre
mdoificar contenido,modificar contenido
fxit,exit
crerar sesion,cerrar sesion
clera,clear
mkdnir,mkdir
mkfille,mkfile
cq,cd
s,ls
wpd,pwd
desargar,descargar
suibr,subir
cambilr nombre,cambiar nombre
modificra contenido,modificar contenido
exih,exit
cerrar sesino,cerrar sesion
clpear,clear
kmdir,mkdir
mkfil,mkfile
cmd,cd
sl,ls
wd,pwd
desargar,descargar
subi,subir
ambiar nombre,cambiar nombre
modifitcar contenido,modificar contenido
exivt,exit
ceroar sesion,cerrar sesion
claar,clear
mckdir,mkdir
mkfiel,mkfile
c,cd
sl,ls
pcwd,pwd
descagar,descargar
sbir,subir
cambiqar nombre,cambiar nombre
moditficar contenido,modificar contenido
exitp,exit
cerrarf sesion,cerrar sesion
cler,clear
mkduir,mkdir
mkfle,mkfile
cdf,cd
dls,ls
pad,pwd
descarar,descargar
subiy,subir
cambiar ombre,cambiar nombre
moidficar contenido,modificar contenido
exibt,exit
cerroar sesion,cerrar sesion
lcear,clear
mdir,mkdir
mafile,mkfile
c,cd
lg,ls
pdw,pwd
descargr,descargar
subip,subir
camibar nombre,cambiar nombre
modificsar contenido,modificar contenido
exiy,exit
cerrac sesion,cerrar sesion
clea,clear
mkdyr,mkdir
mkile,mkfile
dc,cd
sl,ls
bwd,pwd
edscargar,descargar
svubir,subir
cambir nombre,cambiar nombre
moxificar contenido,modificar contenido
exti,exit
cerrar seison,cerrar sesion
clears,clear
mlkdir,mkdir
mkfil,mkfile
c,cd
s,ls
lwd,pwd
descamgar,descargar
suir,subir
cmbiar nombre,cambiar nombre
modificar cpntenido,modificar contenido
xeit,exit
cerrxr sesion,cerrar sesion
clezr,clear
mkwir,mkdir
kmfile,mkfile
cld,cd
sl,ls
pd,pwd
desargar,descargar
subi,subir
caabiar nombre,cambiar nombre
modifica rcontenido,modificar contenido
eixt,exit
cerrarsesion,cerrar sesion
clera,clear
kdir,mkdir
mkfiel,mkfile
ctd,cd
sl,ls
pvd,pwd
descaigar,descargar
subrr,subir
cambir nombre,cambiar nombre
modifiucar contenido,modificar contenido
exht,exit
cerrar sseion,cerrar sesion
clqar,clear
omkdir,mkdir
mkfple,mkfile
dc,cd
ts,ls
ywd,pwd
desargar,descargar
sbuir,subir
mambiar nombre,cambiar nombre
modificar contenidf,modificar contenido
wexit,exit
cerrar sesio,cerrar sesion
oclear,clear
kdir,mkdir
mkzile,mkfile
dc,cd
lk,ls
pwk,pwd
escargar,descargar
subri,subir
cambier nombre,cambiar nombre
moidficar contenido,modificar contenido
exti,exit
cerrar sesixn,cerrar sesion
cliear,clear
mdir,mkdir
mkfle,mkfile
d,cd
s,ls
pdw,pwd
ddescargar,descargar
usbir,subir
cxambiar nombre,cambiar nombre
modificar contnido,modificar contenido
xeit,exit
cerjar sesion,cerrar sesion
vlear,clear
mmdir,mkdir
mkfie,mkfile
ecd,cd
lsx,ls
pdw,pwd
desctargar,descargar
subisr,subir
cambair nombre,cambiar nombre
modifcar contenido,modificar contenido
exst,exit
ccerrar sesion,cerrar sesion
claer,clear
mkrir,mkdir
mkfiel,mkfile
cv,cd
lqs,ls
wd,pwd
desacargar,descargar
suybir,subir
cambhar nombre,cambiar nombre
modifciar contenido,modificar contenido
exitt,exit
qerrar sesion,cerrar sesion
cwlear,clear
mkdi,mkdir
kmfile,mkfile
dc,cd
lsk,ls
wpd,pwd
descargars,descargar
subr,subir
camiar nombre,cambiar nombre
aodificar contenido,modificar contenido
xit,exit
cerrar esion,cerrar sesion
cleao,clear
mkdri,mkdir
dmkfile,mkfile
wcd,cd
lx,ls
pud,pwd
sescargar,descargar
subri,subir
chmbiar nombre,cambiar nombre
modifica contenido,modificar contenido
xeit,exit
cerrar sestion,cerrar sesion
celar,clear
mkdri,mkdir
kfile,mkfile
dc,cd
sl,ls
bpwd,pwd
tescargar,descargar
sudbir,subir
cambia rnombre,cambiar nombre
moidficar contenido,modificar contenido
xeit,exit
cerrar sesiion,cerrar sesion
cleqar,clear
mkdar,mkdir
mkfike,mkfile
ce,cd
l,ls
pd,pwd
dxescargar,descargar
subii,subir
cambiar nhmbre,cambiar nombre
modiuficar contenido,modificar contenido
exift,exit
cevrrar sesion,cerrar sesion
lcear,clear
mkfir,mkdir
kfile,mkfile
d,cd
wls,ls
pwed,pwd
descahgar,descargar
seubir,subir
cambira nombre,cambiar nombre
modificar ceontenido,modificar contenido
exti,exit
coerrar sesion,cerrar sesion
clera,clear
mdkir,mkdir
tkfile,mkfile
c,cd
li,ls
pdw,pwd
descacgar,descargar
sbir,subir
camibar nombre,cambiar nombre
modificar contenid,modificar contenido
eixt,exit
ecrrar sesion,cerrar sesion
celar,clear
kdir,mkdir
mfile,mkfile
dc,cd
lss,ls
pbwd,pwd
dsecargar,descargar
subi,subir
cambiar nobmre,cambiar nombre
mhdificar contenido,modificar contenido
xit,exit
cerrarzsesion,cerrar sesion
claer,clear
mkrir,mkdir
mkfle,mkfile
dc,cd
l,ls
pwv,pwd
descargavr,descargar
subri,subir
cambiwr nombre,cambiar nombre
modificar cotnenido,modificar contenido
exti,exit
cehrrar sesion,cerrar sesion
lear,clear
mkeir,mkdir
hkfile,mkfile
d,cd
sl,ls
pdw,pwd
edscargar,descargar
subr,subir
cabmiar nombre,cambiar nombre
modificra contenido,modificar contenido
exip,exit
cerrvr sesion,cerrar sesion
clearg,clear
mkpir,mkdir
mkifle,mkfile
d,cd
l,ls
pw,pwd
descarsgar,descargar
subzir,subir
cambiak nombre,cambiar nombre
modificar contebnido,modificar contenido
wexit,exit
cerrar qesion,cerrar sesion
clezr,clear
mkidr,mkdir
mkile,mkfile
ck,cd
sl,ls
qwd,pwd
gdescargar,descargar
suir,subir
cafmbiar nombre,cambiar nombre
mosdificar contenido,modificar contenido
exti,exit
cerrbar sesion,cerrar sesion
clera,clear
kmdir,mkdir
mkfgle,mkfile
dc,cd
l,ls
pd,pwd
descagar,descargar
subar,subir
cambiatr nombre,cambiar nombre
modificcar contenido,modificar contenido
exic,exit
cerrar sesioxn,cerrar sesion
cclear,clear
mkdis,mkdir
mkfide,mkfile
dc,cd
sl,ls
wpd,pwd
descarlgar,descargar
surbir,subir
cambiar zombre,cambiar nombre
modificar conhenido,modificar contenido
exiv,exit
cerrar sesdon,cerrar sesion
clewr,clear
mkidir,mkdir
mfile,mkfile
cdw,cd
sl,ls
wd,pwd
desrcargar,descargar
sbir,subir
cajbiar nombre,cambiar nombre
moidficar contenido,modificar contenido
exti,exit
cexrrar sesion,cerrar sesion
clea,clear
mpkdir,mkdir
mfkile,mkfile
co,cd
sl,ls
wd,pwd
adescargar,descargar
suhbir,subir
cambiar nommbre,cambiar nombre
modipicar contenido,modificar contenido
xeit,exit
cerrar ssion,cerrar sesion
lear,clear
mkdri,mkdir
mkile,mkfile
rcd,cd
sl,ls
wpd,pwd
descargyr,descargar
subri,subir
caxmbiar nombre,cambiar nombre
modificar conteido,modificar contenido
eaxit,exit
cerrar sesicon,cerrar sesion
clera,clear
mkir,mkdir
mksfile,mkfile
pcd,cd
les,ls
psd,pwd
descagrar,descargar
sbir,subir
camiar nombre,cambiar nombre
modificai contenido,modificar contenido
xeit,exit
cerrar sesioh,cerrar sesion
clera,clear
mdkir,mkdir
mkfyile,mkfile
cdk,cd
l,ls
pd,pwd
descargra,descargar
subr,subir
cabmiar nombre,cambiar nombre
modificar conftenido,modificar contenido
ebxit,exit
ceerar sesion,cerrar sesion
celar,clear
mkir,mkdir
mkflie,mkfile
dc,cd
l,ls
pwdi,pwd
descahgar,descargar
subi,subir
cabiar nombre,cambiar nombre
modificr contenido,modificar contenido
ebit,exit
cerrar skesion,cerrar sesion
clgear,clear
mkdier,mkdir
kfile,mkfile
cjd,cd
lxs,ls
wd,pwd
doescargar,descargar
subiir,subir
cavmbiar nombre,cambiar nombre
modificra contenido,modificar contenido
eixt,exit
cerrar seson,cerrar sesion
lear,clear
mkdoir,mkdir
mkfie,mkfile
cg,cd
sl,ls
wd,pwd
descagrgar,descargar
suir,subir
cabmiar nombre,cambiar nombre
modifictar contenido,modificar contenido
exti,exit
ceurar sesion,cerrar sesion
caear,clear
bkdir,mkdir
mhkfile,mkfile
cdp,cd
las,ls
pdw,pwd
decargar,descargar
ssubir,subir
ciambiar nombre,cambiar nombre
modificar contendio,modificar contenido
eit,exit
cerrar esion,cerrar sesion
lcear,clear
mkdr,mkdir
hkfile,mkfile
cid,cd
ss,ls
wpd,pwd
dscargar,descargar
sbir,subir
cambiar nocbre,cambiar nombre
modifimcar contenido,modificar contenido
esxit,exit
cerrar sseion,cerrar sesion
clsar,clear
mkdi,mkdir
mkfil,mkfile
d,cd
sl,ls
wd,pwd
decsargar,descargar
srubir,subir
cambiar nobmre,cambiar nombre
modsficar contenido,modificar contenido
exig,exit
tcerrar sesion,cerrar sesion
vlear,clear
mkedir,mkdir
vmkfile,mkfile
dc,cd
lc,ls
pdw,pwd
descargyar,descargar
subitr,subir
cambiar nmbre,cambiar nombre
modificar contenidoz,modificar contenido
ejit,exit
errar sesion,cerrar sesion
cleaor,clear
mkdr,mkdir
mkfwile,mkfile
dc,cd
sl,ls
pd,pwd
dqscargar,descargar
subirv,subir
cambiar nobmre,cambiar nombre
modificra contenido,modificar contenido
ext,exit
ocerrar sesion,cerrar sesion
cear,clear
mzkdir,mkdir
mknile,mkfile
ucd,cd
sl,ls
pdw,pwd
descagrar,descargar
subi,subir
pcambiar nombre,cambiar nombre
modificar csntenido,modificar contenido
exti,exit
cerrar seesion,cerrar sesion
cleasr,clear
kdir,mkdir
mkfil,mkfile
dc,cd
lvs,ls
pzwd,pwd
descargr,descargar
suzir,subir
cambiar nmbre,cambiar nombre
modifiacr contenido,modificar contenido
eixt,exit
cejrrar sesion,cerrar sesion
clcar,clear
mdir,mkdir
mkfilu,mkfile
cm,cd
ts,ls
wpd,pwd
descargacr,descargar
shbir,subir
cambiar ombre,cambiar nombre
modifica contenido,modificar contenido
xeit,exit
cerrar esion,cerrar sesion
mlear,clear
mktdir,mkdir
mkfie,mkfile
cqd,cd
qs,ls
swd,pwd
descargasr,descargar
subiur,subir
camibar nombre,cambiar nombre
modficar contenido,modificar contenido
xeit,exit
cerrars esion,cerrar sesion
